imo,vessel_name,gross_tonnage,type,year_build,flag
9467251,CSCL VENUS,150853,Container Ship,2011,"Hong Kong, China (HKG)"
9645877,CSCL WINTER,116603,Container Ship,2014,"Hong Kong, China (HKG)"
9645906,CSCL YELLOW SEA,116568,Container Ship,2014,"Hong Kong, China (HKG)"
9383546,CSCL YOKOHAMA,9858,Container Ship,2009,"Hong Kong, China (HKG)"
9314234,CSCL ZEEBRUGGE,108069,Container Ship,2007,"Hong Kong, China (HKG)"
9289544,CSL ATLANTIC,54626,Container Ship,2005,Cyprus (CYP)
9289556,CSL MANHATTAN,54592,Container Ship,2005,Liberia (LBR)
9290426,CSL SANTA MARIA,54809,Container Ship,2005,Cyprus (CYP)
9293466,CSL SOPHIE,54519,Container Ship,2005,Malta (MLT)
9395575,CT ROTTERDAM,8273,Container Ship,2009,Cyprus (CYP)
9791779,CURUG MAS,4990,Container Ship,2016,Indonesia (IDN)
9224489,CYPRESS,64254,Container Ship,2001,Comoros (COM)
9723241,CZECH,94684,Container Ship,2015,Malta (MLT)
9905837,DA FENG GANG HAI RONG,44426,Container Ship,2020,China Peoples's Republic (CHN)
9884904,DAE SUN 636,9995,Container Ship,2020,Korea (Republic of) (KOR)
9891933,DAE SUN 639,9995,Container Ship,2020,Korea (Republic of) (KOR)
9903683,DAEWOO,112500,Container Ship,2022,Liberia (LBR)
9903671,DAEWOO,112500,Container Ship,2022,Liberia (LBR)
9903669,DAEWOO,112500,Container Ship,2022,Liberia (LBR)
9903700,DAEWOO,112500,Container Ship,2022,Liberia (LBR)
9903695,DAEWOO,112500,Container Ship,2022,Liberia (LBR)
9903657,DAEWOO,112500,Container Ship,2022,Liberia (LBR)
9896983,DAEWOO 4325,228750,Container Ship,2021,Panama (PAN)
9896995,DAEWOO 4326,228750,Container Ship,2021,Panama (PAN)
9897004,DAEWOO 4327,228750,Container Ship,2021,Panama (PAN)
9897016,DAEWOO 4328,228750,Container Ship,2021,Panama (PAN)
9897028,DAEWOO 4329,228750,Container Ship,2021,Panama (PAN)
9697428,DALI,95128,Container Ship,2015,Singapore (SGP)
9908097,DALIAN COSCO KHI DE093,237000,Container Ship,2023,"Hong Kong, China (HKG)"
9908102,DALIAN COSCO KHI DE094,237000,Container Ship,2023,"Hong Kong, China (HKG)"
9229829,DALIAN EXPRESS,88493,Container Ship,2001,Germany (DEU)
9282950,DALLAS,54592,Container Ship,2004,Palau (Republic of) (PLW)
9193288,DALLAS EXPRESS,54437,Container Ship,2000,Germany (DEU)
9380908,DAN,8724,Container Ship,2005,Palau (Republic of) (PLW)
9226425,DANAE C,25703,Container Ship,2001,Malta (MLT)
9360972,DANCE,7112,Container Ship,2006,Portugal (MAR) (PMD)
9326988,DANIEL,9990,Container Ship,2006,Antigua and Barbuda (ATG)
